num,img,title,field,organizer,start_day,finish_day,homepage
1,https://www.wevity.com/upload/contest/20241203033036_0d5923cb.jpg,새해에는 작가의 꿈을 이루세요! 책 쓰기 프로젝트 [온라인 / 오프라인] 47기 모집!,"논문, 리포트, 문학, 글, 시나리오, 예체능, 미술, 음악, 대외활동, 서포터즈, 기타",글ego,2024-12-03,2024-12-16,https://bit.ly/책쓰기_47기_신청하기
2,https://www.wevity.com/upload/contest/20241126021915_532916c1.jpg,(4주) 신춘문예 작가의 소설/시/동화 강의 참여자 모집,"광고, 마케팅, 논문, 리포트, 문학, 글, 시나리오, 예체능, 미술, 음악, 대외활동, 서포터즈",글ego,2024-11-26,2024-12-09,https://bit.ly/문장력과글구성14기_상세안내
3,https://www.wevity.com/upload/contest/20241125180114_31573faf.png,"[아모레퍼시픽/동아제약/국내1위연구개발기업] 뷰티대기업 3곳에서 한번에 'X3배' 직무스펙 쌓고 바로 취업하기 프로젝트!(~12/15,일요일 저녁12시)","기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",우먼센스,2024-11-25,2024-12-15,https://blog.naver.com/womansenseofficial/223377742984
4,https://www.wevity.com/upload/contest/20241125105221_3fbaf5e7.jpg,[무료] 삼성생명 금융 현직자 멘토링 12월 주말반 모집,"기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",삼성생명,2024-11-25,2024-12-19,https://app.catchsecu.com/project/511bfb8d9a0b89c/form
5,https://www.wevity.com/upload/contest/20241125092258_b99f9c4b.jpg,[LG전자] 라이프 with LG전자 포토 콘테스트 공모전,"광고, 마케팅, 영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 대외활동, 서포터즈",LG전자,2024-11-25,2024-12-15,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93579
6,https://www.wevity.com/upload/contest/20241122100706_f2dd5c74.jpg,청주오스코 슬로건 아이디어 & MICE 행사 기획 공모전,"기획, 아이디어, 광고, 마케팅, 논문, 리포트, 네이밍, 슬로건, 대외활동, 서포터즈",청주오스코,2024-11-25,2024-12-15,https://osco.or.kr/cs-center/notice/?uid=15&mod=document
7,https://www.wevity.com/upload/contest/20241118232024_31cc7f31.jpg,컴투스 글로벌 게임개발 공모전 컴:온 2024,"웹, 모바일, IT, 게임, 소프트웨어, 과학, 공학, 대외활동, 서포터즈","컴투스, 게임문화재단",2024-11-19,2024-12-30,https://www.com2us.com/gamecontest
8,https://www.wevity.com/upload/contest/20241113100004_27bb56f4.jpg,[무료] 2025 삼성 Financial Networks 금융연수프로그램 7기 모집,"기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",삼성생명,2024-11-11,2024-12-13,https://app.catchsecu.com/project/cc89c286ff8debe/form
9,https://www.wevity.com/upload/contest/20241110234706_7d4c6f45.jpg,2025 제3회 ChunMan Art for Young 공모전 (천만 아트 포 영 2025 : 시각예술 전 분야),"영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 기타",재단법인 천만장학회,2024-10-14,2024-12-30,https://cay.or.kr/about/about_01.php
10,https://www.wevity.com/upload/contest/20241106015216_5821ab15.png,한국로타리 백주년기념회 백주년 기념 봉사사업 아이디어 공모전,"기획, 아이디어, 광고, 마케팅, 예체능, 미술, 음악, 대외활동, 서포터즈, 봉사활동",한국로타리,2024-11-01,2024-12-10,http://www.rotarykorea100.com/?c=5&s=&gp=1&gbn=viewok&ix=28
11,https://www.wevity.com/upload/contest/20241101114357_e254fb79.jpg,제 5 회 포스텍 SF 어워드 공모전,"기획, 아이디어, 광고, 마케팅, 웹, 모바일, IT, 과학, 공학, 문학, 글, 시나리오",포스텍 소통과 공론 연구소,2024-10-07,2025-01-12,http://icp.postech.ac.kr/bbs/board.php?tbl=bbs72&mode=VIEW&num=28
12,https://www.wevity.com/upload/contest/20241206165725_16ee5287.jpg,케이블TV 30주년 안무 영상 챌린지 이벤트 시즌 2,"영상, UCC, 사진",한국케이블TV방송협회,2024-12-02,2024-12-20,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93784
13,https://www.wevity.com/upload/contest/20241206165354_b9fbbcb6.jpg,제6회 겨울 상하 사진전,"영상, UCC, 사진",상하농원,2024-12-10,2025-02-10,https://www.sanghafarm.co.kr/brand/bbs/news/view.jsp?seq=391
14,https://www.wevity.com/upload/contest/20241205212849_762da5a0.jpg,2024 남원의 맛 영상 공모전 (기간 연장),"영상, UCC, 사진",남원시,2024-12-05,2024-12-18,https://www.남원의맛.com
15,https://www.wevity.com/upload/contest/20241205212319_567b42ee.jpg,덴서티 10초 영상 챌린지,"영상, UCC, 사진",(주)제이시스메디칼,2024-12-10,2025-01-10,https://www.instagram.com/p/DDI_x8jyL8T/?igsh=MXJreDdpNXdxdnpscg%3D%3D
16,https://www.wevity.com/upload/contest/20241205205322_3b32a3ae.jpg,제2회 과학수사 CSI 경진대회,"과학, 공학",한림대학교,2024-12-16,2024-12-27,https://www.pyocsi.co.kr/hallym
17,https://www.wevity.com/upload/contest/20241205204909_48de4c40.jpg,국립한밭대학교 한밭 한마음 공모전,"예체능, 미술, 음악",국립한밭대학교,2024-12-05,2025-01-03,https://www.hanbat.ac.kr/bbs/BBSMSTR_000000000050/view.do?nttId=B000000120594Ft0kI2e&mno=sub07_01
18,https://www.wevity.com/upload/contest/20241205200754_35692137.jpg,네이버 커넥트재단 엔트리 대학생 서포터즈 엔크리에이터 1기 모집,"대외활동, 서포터즈",네이버 커넥트재단,2024-12-06,2024-12-22,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93760
19,https://www.wevity.com/upload/contest/20241205193816_66c55dc4.jpg,캐논 셀피 QX20 꾸덕이들(체험단) 30명 모집,"대외활동, 서포터즈",캐논코리아 주식회사,2024-12-05,2024-12-18,https://kr.canon/event/Detail?evntSeq=34643&evntStatus=01&evntGubun=&evntCate=
20,https://www.wevity.com/upload/contest/20241205193248_383b424f.jpg,2025 ICFF 국제기독교영상(AI·일반) 공모전,"영상, UCC, 사진","아가페문화재단, 한국기독교AI위원회",2024-12-02,2025-01-20,http://www.cchannel.com/board/board_view?layout=main/ctalk/ctalk_notice_detail&bd_idx=1751&searchVal=&searchType=&searchCate=&listSize=10&layout=main%2Fctalk%2Fctalk_notice&mode=&bmt_idx=8&page=1&searchPmtSeq=&seq=&searc
21,https://www.wevity.com/upload/contest/20241205152505_a45c0559.jpg,2024년 CBC KOREA 창업경진대회 참가자 모집,"취업, 창업",CBC KOREA,2024-11-21,2024-12-27,https://startup.daegu.go.kr/index.do?menu_id=00002552&menu_link=/front/project/projectFrontDetail.do?project_id=PROJECT_00004077
22,https://www.wevity.com/upload/contest/20241205230952_e2e956a8.jpg,2025 인천문화재단 예술창작지원사업 공모,"예체능, 미술, 음악",인천문화재단,2024-12-04,2024-12-26,http://www.ifac.or.kr/IFACBBS/board.php?bo_table=Ifacbbs_oc4601&wr_id=4137
23,https://www.wevity.com/upload/contest/20241205230544_ac5c329d.jpg,한국철도공사 대국민 서비스 아이디어 공모전,"기획, 아이디어",한국철도공사,2024-11-25,2024-12-20,https://info.korail.com/info/selectBbsNttView.do?key=910&bbsNo=200&nttNo=23773
24,https://www.wevity.com/upload/contest/20241205225852_3071d161.jpg,건설워크넷 10주년 기념 건설워크넷 취업성공 후기 공모전,기타,한국건설기술인협회,2024-11-28,2024-12-27,https://cworknet.kocea.or.kr/work/wsNotice/wsNoticeView.do?ntcNo=281
25,https://www.wevity.com/upload/contest/20241205224158_b3a26922.jpg,제5회 광고제작 공모전,"광고, 마케팅",kobaco 광고교육원,2024-11-14,2024-12-10,https://edu.kobaco.co.kr//board/notice/view.jsp?bc_id=notice&ba_id=494
26,https://www.wevity.com/upload/contest/20241205223716_d1aa9a0b.jpg,2024 제1회 어댑터씨어터 대본공모,"문학, 글, 시나리오",예술은공유다,2024-11-22,2024-12-10,https://blog.naver.com/art0050/223669355690
27,https://www.wevity.com/upload/contest/20241204174320_173861c9.jpg,[이타서울] 친환경 활동도 개성있게! 전국제로자랑 캠페인 참여하기,기타,이타서울,2024-12-04,2024-12-29,https://지구투자.kr/campaign
28,https://www.wevity.com/upload/contest/20241204172939_94ab531b.jpg,2024 오픈갤러리 하반기 작가공모,"예체능, 미술, 음악",오픈갤러리,2024-12-03,2024-12-31,https://www.opengallery.co.kr/
29,https://www.wevity.com/upload/contest/20241204195901_0b4c55e6.jpg,2024 어린이 민화 글ㆍ그림 공모전,"예체능, 미술, 음악",박물관 수,2024-11-01,2024-12-16,http://www.museumsoo.org/default/cs/cs_01.php?com_board_basic=read_form&com_board_idx=483&com_board_id=12
30,https://www.wevity.com/upload/contest/20241204155428_7f60cad8.jpg,서울리거뷰티 아임서울 서포터즈 6기 모집,"대외활동, 서포터즈",(주)서울리거뷰티,2024-12-04,2024-12-15,https://seouleaguerbeauty.net/
31,https://www.wevity.com/upload/contest/20241204152405_ff661763.jpg,베트남인 친구와 함께 하는 농심 쿠킹 챌린지,"영상, UCC, 사진",펀데이코리아네트웍스,2024-12-04,2024-12-20,https://fundaykorea.com/event/662
